,label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,time
0,1,526.0,444.83269961977186,582.074144486692,428,572,464,592,0
1,2,286.0,488.5174825174825,239.34265734265733,480,229,500,249,0
2,3,197.0,504.76142131979697,294.6852791878173,497,288,513,304,0
3,4,265.0,537.3547169811321,661.5358490566038,526,648,545,673,0
4,1,188.0,23.340425531914892,158.79787234042553,16,152,32,169,1
5,2,485.0,45.27010309278351,88.98969072164948,32,78,59,102,1
6,3,351.0,395.64957264957263,651.8660968660969,384,643,410,663,1
7,4,408.0,408.21813725490193,612.8529411764706,395,602,426,623,1
8,5,228.0,536.1798245614035,654.1491228070175,528,647,546,663,1
9,1,421.0,55.197149643705465,232.02850356294536,44,221,68,245,2
10,2,205.0,53.17560975609756,289.40487804878046,45,281,64,297,2
11,3,400.0,240.1425,415.3825,226,405,254,429,2
12,4,383.0,283.0391644908616,327.06005221932116,271,319,298,338,2
13,5,171.0,439.1637426900585,460.4269005847953,430,455,448,467,2
14,6,196.0,453.3265306122449,545.780612244898,448,537,462,555,2
15,7,126.0,467.1666666666667,399.3492063492063,459,393,479,408,2
16,8,266.0,487.0187969924812,554.0864661654135,480,542,498,566,2
17,9,172.0,491.2848837209302,519.9941860465116,484,512,499,528,2
18,10,356.0,503.5365168539326,537.6601123595506,494,527,513,551,2
19,11,289.0,502.89273356401384,595.636678200692,494,584,512,609,2
20,12,210.0,538.447619047619,565.5238095238095,528,557,549,575,2
21,13,148.0,540.0067567567568,534.3581081081081,536,526,548,544,2
22,14,192.0,550.78125,499.234375,543,493,560,506,2
23,1,305.0,352.62295081967216,719.5409836065573,343,707,364,730,3
24,2,369.0,436.1409214092141,584.4363143631437,425,575,448,596,3
25,3,262.0,450.82442748091603,683.8816793893129,438,679,465,691,3
26,4,263.0,471.20152091254755,288.26615969581746,463,280,481,297,3
27,5,294.0,471.7925170068027,741.5204081632653,463,732,481,751,3
28,6,355.0,488.31267605633803,479.69859154929577,477,471,502,489,3
29,7,113.0,490.76106194690266,666.7345132743363,485,662,498,672,3
30,8,173.0,507.21387283236993,678.5549132947976,502,670,513,689,3
31,9,233.0,522.1630901287554,285.17167381974247,515,275,529,296,3
32,10,276.0,559.7028985507246,255.8913043478261,551,247,569,267,3
33,11,222.0,569.7432432432432,560.472972972973,560,552,580,568,3
34,1,450.0,410.08444444444444,501.64,400,489,420,518,4
35,2,237.0,431.1097046413502,734.409282700422,423,727,442,745,4
36,3,123.0,435.4715447154472,703.5528455284552,432,696,440,712,4
37,4,138.0,464.57246376811594,355.0652173913044,457,350,474,360,4
38,5,315.0,471.3079365079365,635.3809523809524,463,625,480,648,4
39,6,403.0,482.37965260545906,745.3076923076923,471,736,496,756,4
40,7,252.0,527.7539682539683,480.0515873015873,520,470,537,489,4
41,8,331.0,543.1933534743202,656.3172205438067,535,646,553,667,4
42,1,582.0,30.07388316151203,254.39690721649484,15,241,46,272,5
43,2,297.0,471.15824915824913,692.4983164983165,463,682,481,704,5
44,3,218.0,470.92660550458714,270.348623853211,464,263,480,280,5
45,4,134.0,495.17910447761193,251.38059701492537,488,247,504,257,5
46,5,266.0,545.9924812030075,215.8609022556391,538,207,556,227,5
47,6,552.0,565.9565217391304,723.3333333333334,552,707,580,739,5
48,1,198.0,5.055555555555555,35.19191919191919,0,25,12,48,6
49,2,576.0,23.227430555555557,655.4947916666666,12,642,35,670,6
50,3,383.0,27.2088772845953,252.78067885117494,14,245,44,264,6
51,4,194.0,149.80927835051546,178.76288659793815,144,168,156,193,6
52,5,254.0,431.8503937007874,701.2204724409448,422,692,441,711,6
53,6,347.0,527.1959654178675,193.84149855907782,519,184,538,208,6
54,7,136.0,531.6691176470588,263.75735294117646,527,256,538,273,6
55,8,427.0,535.8313817330211,680.7822014051523,527,665,545,696,6
56,1,317.0,33.132492113564666,287.7981072555205,23,278,44,298,7
57,2,260.0,156.42307692307693,743.0884615384615,146,735,167,752,7
58,3,684.0,279.343567251462,304.3611111111111,266,287,297,320,7
59,4,366.0,341.22677595628414,367.8032786885246,329,359,353,378,7
60,5,346.0,392.4421965317919,397.2225433526012,383,384,403,408,7
61,6,598.0,416.871237458194,608.5434782608696,404,593,435,623,7
62,7,223.0,420.78923766816143,299.4663677130045,416,286,428,311,7
63,8,488.0,495.31762295081967,522.8811475409836,485,509,512,541,7
64,9,269.0,554.6728624535316,468.32342007434943,543,462,568,476,7
65,1,255.0,254.10196078431372,342.81176470588235,243,336,265,351,8
66,2,376.0,421.1781914893617,242.7127659574468,409,232,432,256,8
67,3,280.0,450.32142857142856,743.8642857142858,440,735,463,755,8
68,4,355.0,491.73802816901406,727.1014084507042,480,719,504,736,8
69,5,212.0,518.9103773584906,688.8018867924528,512,679,530,696,8
70,6,354.0,547.8870056497175,529.3644067796611,536,520,560,540,8
71,7,51.0,576.5490196078431,658.8039215686274,573,654,580,664,8
72,1,139.0,26.863309352517987,295.0719424460432,21,288,33,304,9
73,2,161.0,112.27329192546584,557.7701863354038,103,551,120,568,9
74,3,441.0,370.6190476190476,559.9455782312925,357,549,387,571,9
75,4,297.0,454.64309764309763,720.7037037037037,444,712,465,729,9
76,5,43.0,451.1860465116279,748.9767441860465,448,745,456,755,9
77,6,252.0,465.21031746031747,686.3333333333334,457,678,473,696,9
78,7,559.0,475.7692307692308,770.6440071556351,459,759,496,780,9
79,8,130.0,487.46923076923076,139.2923076923077,480,135,497,145,9
80,9,403.0,495.72456575682384,731.1265508684863,487,719,505,745,9
81,1,184.0,108.44021739130434,427.2608695652174,97,422,121,432,10
82,2,340.0,208.38823529411764,272.4647058823529,197,263,219,282,10
83,3,388.0,360.8144329896907,398.1726804123711,352,387,372,410,10
84,4,977.0,383.0440122824974,180.28556806550665,368,154,398,204,10
85,5,292.0,469.7945205479452,735.2328767123288,462,725,480,747,10
86,1,263.0,79.70342205323193,616.4524714828897,71,608,91,625,11
87,2,1085.0,269.1594470046083,274.8221198156682,249,256,288,298,11
88,3,246.0,471.1341463414634,622.4918699186992,461,615,480,632,11
89,4,124.0,483.3225806451613,698.0967741935484,479,691,489,707,11
