,label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,time
0,1,97.0,31.824742268041238,762.3298969072165,24,755,41,771,0
1,1,73.0,455.5753424657534,198.1917808219178,450,194,463,203,1
2,1,84.0,33.392857142857146,762.4880952380952,29,755,40,771,5
3,2,115.0,452.32173913043476,192.56521739130434,448,184,460,200,5
4,1,94.0,453.0,194.38297872340425,449,188,460,201,6
5,2,74.0,540.5675675675676,776.1351351351351,535,772,548,780,6
6,1,119.0,451.1512605042017,191.57983193277312,446,184,458,199,9
7,1,82.0,452.9146341463415,192.23170731707316,447,188,460,197,11
8,1,79.0,452.39240506329116,195.8227848101266,446,192,459,200,12
9,2,78.0,552.2948717948718,774.2179487179487,547,770,558,779,12
10,1,92.0,451.9891304347826,193.82608695652175,446,188,459,199,14
11,1,80.0,559.525,775.6375,553,772,568,780,15
12,1,96.0,452.1875,189.63541666666666,447,183,458,196,25
13,1,96.0,451.6458333333333,191.65625,445,186,460,197,26
14,1,89.0,451.2134831460674,195.47191011235955,445,190,459,201,27
15,1,80.0,447.6,194.675,443,188,454,202,30
16,1,75.0,449.49333333333334,196.21333333333334,444,192,457,201,34
17,1,77.0,448.3246753246753,200.57142857142858,443,196,456,206,35
18,1,106.0,452.188679245283,200.93396226415095,446,194,460,207,36
19,1,100.0,453.51,197.71,448,191,460,204,37
20,1,101.0,454.63366336633663,196.5049504950495,449,190,461,203,38
21,1,94.0,455.32978723404256,196.4468085106383,450,189,461,203,41
22,2,61.0,514.9672131147541,474.75409836065575,509,472,522,478,41
23,1,64.0,519.109375,475.296875,514,470,525,480,43
24,1,62.0,452.7096774193548,192.75806451612902,448,189,459,197,45
25,1,74.0,451.52702702702703,195.67567567567568,446,192,459,200,46
26,1,86.0,453.1279069767442,196.77906976744185,447,191,460,203,47
27,1,109.0,454.0091743119266,193.0091743119266,448,186,460,200,48
28,1,95.0,453.7473684210526,193.56842105263158,448,187,461,199,49
